iso,lat,lon
2024-09-29T08:22:31.261Z,52.35710781510291,4.903688347116847
2024-09-29T08:23:15.677Z,52.35740788144598,4.90437350875943
2024-09-29T08:24:39.730Z,52.35854914913586,4.904472974189771
2024-09-29T08:26:41.361Z,52.35895917623019,4.904014420309042
2024-09-29T08:27:53.235Z,52.35952564424827,4.904576984378571
2024-09-29T08:30:35.794Z,52.36074186475491,4.907881413628984
2024-09-29T08:32:06.568Z,52.3611048496808,4.907446115243806
2024-09-29T08:33:08.454Z,52.3612898199425,4.908339236677658
2024-09-29T08:34:33.386Z,52.362569414696296,4.908329596012365
2024-09-29T08:36:54.037Z,52.36264999216392,4.911068149770951
2024-09-29T08:42:07.809Z,52.3663208103477,4.911633385285514
2024-09-29T08:42:51.920Z,52.36647150176245,4.911979376067021
2024-09-29T08:43:58.441Z,52.36662980753504,4.9121599494399915
2024-09-29T08:45:02.994Z,52.367096548256185,4.9126537463100295
2024-09-29T08:57:16.125Z,52.36652837486787,4.916010599553359
2024-09-29T09:17:18.598Z,52.36634378326084,4.917954516556984
2024-09-29T09:31:38.791Z,52.36498260520375,4.9182801249367
2024-09-29T10:16:19.853Z,52.36498224917446,4.918280848821102
2024-09-29T10:18:06.798Z,52.364237976286404,4.919110203074069
2024-09-29T10:19:08.323Z,52.36487309267956,4.919678303559757
2024-09-29T10:23:29.223Z,52.36490936301516,4.920591232142112
2024-09-29T10:24:59.506Z,52.36525726341097,4.920257664028668
2024-09-29T10:30:36.678Z,52.36498130958271,4.918282743071918
2024-09-29T10:34:11.758Z,52.36582201023125,4.914938042441646
2024-09-29T10:36:38.240Z,52.36621486227216,4.913152795847401
2024-09-29T10:43:04.500Z,52.365802948176544,4.913356479151672
2024-09-29T10:57:15.189Z,52.36523355146684,4.912559230491904
2024-09-29T10:58:42.290Z,52.365497458152866,4.911012589545017
2024-09-29T10:59:37.668Z,52.365112792847604,4.910673200513665
2024-09-29T11:01:04.854Z,52.36479923974411,4.908748345300172
2024-09-29T11:02:16.259Z,52.364478489826375,4.9071415426397245
2024-09-29T11:07:40.169Z,52.363701464720094,4.903039372350138
2024-09-29T11:08:12.742Z,52.363407889794104,4.902316165584849
2024-09-29T11:11:26.683Z,52.36290915976312,4.898715268657463
2024-09-29T11:14:02.325Z,52.361101340487785,4.899416895367759
2024-09-29T11:15:22.138Z,52.36039872577973,4.900718495317223
2024-09-29T11:16:47.692Z,52.35952322669103,4.90131574841858
2024-09-29T11:17:45.253Z,52.3586971751607,4.9018310178939855
2024-09-29T11:18:39.059Z,52.358363369878376,4.902066371333018
2024-09-29T11:19:46.924Z,52.35734362107509,4.902277543155207
2024-09-29T11:20:38.359Z,52.35690729175314,4.902656983768574
2024-09-29T11:21:14.204Z,52.356945505932714,4.903139329339283
2024-09-29T08:22:31.261Z,52.35710781510291,4.903688347116847
